transaction_id,merchant_id,merchant_type,amount,currency,payment_method,payment_status,failure_reason,recovery_action,recovered,attempt_number,customer_transaction_count,created_at
532fd859-93a3-4cd3-a2de-d4256812d17b,merchant_0072,marketplace,1631.69,INR,card,failed,bank_declined,send_payment_link,False,3,4,2026-08-08T10:30:13.623741
774f0944-b72f-4718-a7f9-8a87009d7dfa,merchant_0017,food_delivery,981.8,INR,card,successful,,none,False,4,76,2026-08-28T06:04:13.624742
4ec2e7e5-950e-4406-9960-e0a4a72679fe,merchant_0360,saas,1370.91,INR,card,failed,limit_exceeded,no_action,True,2,72,2026-04-17T19:03:13.624742
05127f37-955d-43aa-ace5-39520e879a99,merchant_0175,travel,2461.22,INR,netbanking,failed,limit_exceeded,send_payment_link,False,2,1,2026-06-25T04:04:13.624742
9cfd8310-bef5-4ca8-8d38-74d234c48dbc,merchant_0050,education,689.04,INR,card,successful,,none,False,4,12,2026-06-04T20:39:13.624742
d70a0e8a-ab31-4550-bace-5a35e015056c,merchant_0275,education,720.44,INR,card,successful,,none,False,4,94,2026-08-03T20:12:13.624742
f98ec483-5925-4fbe-8f39-1c1837434840,merchant_0296,food_delivery,135.63,INR,netbanking,successful,,none,False,3,81,2026-07-16T10:13:13.624742
5b9bd585-a8bb-4d92-89f7-1b5d50f62f1e,merchant_0041,ecommerce,2345.6,INR,upi,successful,,none,False,3,99,2026-07-07T04:53:13.624742
51a80358-ba5b-48bf-bdfa-195e19a40995,merchant_0084,education,778.65,INR,wallet,successful,,none,False,3,82,2026-06-01T21:04:13.624742
10cb1dbe-497f-47ba-8584-42ce8e56798c,merchant_0312,marketplace,605.51,INR,netbanking,successful,,none,False,1,90,2026-03-26T02:43:13.624742
487d82bf-3318-46ed-8825-b6407a8a281f,merchant_0195,marketplace,662.76,INR,upi,successful,,none,False,4,21,2026-06-26T11:33:13.624742
ab6fe4d6-efc5-4dd9-b882-8fd1bee84009,merchant_0432,food_delivery,1769.01,INR,upi,successful,,none,False,3,88,2026-08-21T00:25:13.624742
efe69ee7-4278-4416-8f4a-2a40c3e84773,merchant_0034,ecommerce,1209.27,INR,netbanking,successful,,none,False,3,52,2026-07-11T13:21:13.624742
8c2bd1f3-e077-4b4a-bb50-bfa152ec76f7,merchant_0203,marketplace,726.07,INR,netbanking,successful,,none,False,4,28,2026-03-23T18:08:13.624742
64b04b24-6804-401f-895e-8692c45b3ff7,merchant_0383,education,678.44,INR,upi,successful,,none,False,3,32,2026-04-07T18:20:13.624742
716fd554-d349-4253-a98e-1ce2d635928c,merchant_0071,food_delivery,2340.11,INR,wallet,successful,,none,False,2,47,2026-04-26T17:12:13.624742
44c3cc37-ee61-47a5-a3b8-edf9b1edc884,merchant_0406,ecommerce,484.33,INR,card,successful,,none,False,2,20,2026-03-13T18:39:13.624742
86c80e37-194b-45c6-ad4b-b43fdc4c148d,merchant_0271,ecommerce,963.52,INR,wallet,successful,,none,False,4,49,2026-07-01T14:22:13.624742
61856acb-1d7b-4054-b387-c7e7794d7db2,merchant_0394,ecommerce,912.73,INR,card,successful,,none,False,3,88,2026-03-23T22:10:13.624742
d784e1c3-154f-4dd8-9bfc-b47cb3519f68,merchant_0002,education,1497.39,INR,wallet,successful,,none,False,4,21,2026-06-28T15:29:13.624742
f21f4c54-bfb3-4d28-b7ad-fbb192bb128a,merchant_0431,saas,10123.86,INR,card,successful,,none,False,3,81,2026-03-24T15:39:13.624742
b69f3c7c-4836-473e-b883-146585fc4dc9,merchant_0307,saas,2849.54,INR,upi,failed,network_timeout,retry_payment,True,2,48,2026-06-13T17:16:13.624742
aa836789-91b6-4b25-930d-2243943cd6b3,merchant_0030,ecommerce,1979.84,INR,netbanking,successful,,none,False,2,40,2026-07-04T14:12:13.624742
cf2fcb8c-4fe7-487b-9193-777f9f4b3654,merchant_0066,ecommerce,1257.77,INR,wallet,successful,,none,False,2,9,2026-03-19T16:42:13.624742
5d8d628e-c599-476c-bae3-69db585b09b7,merchant_0494,saas,999.73,INR,netbanking,successful,,none,False,4,68,2026-07-11T14:29:13.624742
2cf3ae03-25a4-4b00-915b-c789b3d06b35,merchant_0205,marketplace,861.88,INR,upi,successful,,none,False,3,92,2026-03-16T11:54:13.624742
a8c0cbbb-a40a-4767-a092-3d782bb8fa70,merchant_0116,travel,758.61,INR,wallet,successful,,none,False,2,16,2026-08-18T22:16:13.624742
b8111abd-6f12-48fb-ae90-e48aa6200b8c,merchant_0004,food_delivery,2554.72,INR,upi,successful,,none,False,2,76,2026-08-16T09:37:13.624742
7c02cc6d-a669-4353-95ce-bf1610d6c7a1,merchant_0441,ecommerce,1421.21,INR,upi,successful,,none,False,1,9,2026-06-12T05:45:13.624742
010085d0-2832-4dbc-a696-37f1e7b7835f,merchant_0371,saas,805.88,INR,netbanking,failed,bank_declined,send_payment_link,False,4,86,2026-04-10T13:47:13.624742
7dbadb73-94c2-40ac-8feb-48a4edb805d9,merchant_0338,saas,1747.07,INR,wallet,failed,insufficient_funds,send_payment_link,False,2,53,2026-05-16T20:50:13.624742
cbea4394-38e7-4721-8eb0-3ad5f5c35d08,merchant_0345,travel,2230.99,INR,wallet,successful,,none,False,1,94,2026-03-20T12:11:13.624742
dec51aef-48e3-4575-91d1-e280a8340864,merchant_0442,ecommerce,560.39,INR,wallet,failed,expired_card,request_new_payment_method,False,3,94,2026-08-08T01:05:13.624742
05bc674d-2fb8-4c65-9e33-4e40a5c5e9af,merchant_0094,saas,856.31,INR,wallet,successful,,none,False,4,18,2026-06-24T18:02:13.624742
0a9a1b3c-0e56-4bfc-b4fd-10243aba8ed9,merchant_0026,ecommerce,951.29,INR,wallet,successful,,none,False,1,71,2026-03-21T14:24:13.624742
89caf8fe-e10f-47e3-94ca-f407934c4fb4,merchant_0249,ecommerce,789.73,INR,card,failed,bank_declined,wait_and_retry,False,2,97,2026-05-04T01:22:13.624742
ea91bb30-7a5e-4a5a-a844-88e0aa98098b,merchant_0002,travel,1035.24,INR,card,successful,,none,False,4,22,2026-05-27T23:18:13.624742
